,time,code,OPEN,HIGH,LOW,CLOSE,PCT_CHG,VOLUME,AMT,FREE_TURN,rsi,close_deviation,min_volume,is_min
202266,2016-05-31,300006.SZ,8.7,9.13,8.7,9.07,4.25287,29205300.0,261906000.0,5.19147,11.3672511359,-0.674309208755,6917730.0,False
202272,2016-05-31,300012.SZ,10.41,10.98,10.41,10.9,4.30622,9015450.0,97264600.0,1.33643,19.6398244436,-0.349816576695,2272050.0,False
202310,2016-05-31,300050.SZ,12.86,13.94,12.86,13.78,6.24518,14252100.0,194575000.0,4.34619,12.911398399,-0.444802578566,2089220.0,False
202325,2016-05-31,300066.SZ,5.79,6.09,5.79,6.07,5.0173,15440800.0,92664800.0,1.64546,17.2645395419,-0.466959385291,4441200.0,False
202329,2016-05-31,300070.SZ,14.77,15.47,14.64,15.4,4.05405,16382200.0,249492000.0,0.996159,18.5125070331,-0.376012965964,4013000.0,False
202342,2016-05-31,300083.SZ,8.54,9.17,8.4,9.17,9.95204,121051000.0,1093760000.0,13.2944,10.9916050256,-0.705754945531,7471200.0,False
202348,2016-05-31,300089.SZ,9.49,10.07,9.43,9.99,5.71429,13531000.0,132896000.0,6.25579,16.3196507228,-0.510378121401,2915670.0,False
202350,2016-05-31,300091.SZ,11.91,13.0,11.78,12.79,7.29866,12544900.0,157930000.0,3.47371,9.76829640188,-0.544661611307,971067.0,False
202358,2016-05-31,300099.SZ,8.15,8.65,8.15,8.53,4.79115,15833600.0,134694000.0,4.43095,18.4737062147,-0.512209069595,2748770.0,False
202415,2016-05-31,300156.SZ,16.5,17.15,16.36,17.15,4.38223,9047970.0,153389000.0,1.38547,17.4472480522,-0.405926875314,2180700.0,False
202490,2016-05-31,300232.SZ,14.01,15.29,14.01,14.92,6.72389,15749900.0,230394000.0,4.47965,17.7886238648,-0.494605626408,2218060.0,False
202497,2016-05-31,300239.SZ,7.48,7.8,7.48,7.8,4.27807,10529200.0,81004500.0,2.7762,4.08579529628,-0.477929118838,1238340.0,False
202509,2016-05-31,300251.SZ,11.5,12.15,11.35,12.04,5.06108,59710500.0,706160000.0,2.17001,18.4378372911,-0.448616962814,13756600.0,False
202570,2016-05-31,300312.SZ,14.9,16.45,14.9,16.45,10.0334,9585660.0,151701000.0,5.47314,9.94682527153,-0.420499180949,1314850.0,False
202613,2016-05-31,300355.SZ,6.51,6.81,6.49,6.78,4.79134,21411000.0,143873000.0,3.93275,13.0111823963,-0.447049708437,5522340.0,False
202627,2016-05-31,300370.SZ,7.87,8.38,7.81,8.29,6.41849,9478930.0,77478100.0,3.65168,13.5695860343,-0.438575104971,1252890.0,False
202634,2016-05-31,300377.SZ,37.7,41.22,37.7,41.22,10.008,5579360.0,227137000.0,3.75577,15.196679054,-0.415737663092,1937810.0,False
202692,2016-05-31,300435.SZ,19.0,19.88,18.98,19.8,5.15135,4455710.0,87433300.0,5.56555,17.9871245623,-0.527418103705,1710080.0,False
202697,2016-05-31,300440.SZ,28.28,31.11,28.28,31.11,10.0071,4411000.0,133813000.0,4.38142,14.3344490785,-0.457200683952,870419.0,False
202703,2016-05-31,300446.SZ,39.1,41.59,38.9,41.49,5.73394,4497340.0,182415000.0,5.97399,7.70275015763,-0.46619491798,439800.0,False
202774,2016-05-31,600008.SH,3.83,4.01,3.81,4.0,4.43864,37991100.0,149567000.0,0.788096,14.2467391188,-0.396954620835,6999030.0,False
202997,2016-05-31,600271.SH,24.26,25.77,24.2,25.29,5.24345,15706800.0,395064000.0,1.70097,3.38490517355,-0.481762295082,3829240.0,False
203004,2016-05-31,600279.SH,6.91,7.22,6.91,7.21,4.49275,7108960.0,50668300.0,1.53883,5.23362309002,-0.322081707489,5114140.0,False
203207,2016-05-31,600537.SH,6.88,7.3,6.75,7.28,4.29799,70552600.0,500997000.0,5.99754,12.1273542759,-0.457768508863,9774890.0,False
203344,2016-05-31,600693.SH,6.36,7.03,6.36,7.03,10.0156,10046100.0,66737600.0,1.46695,17.1096375372,-0.395554791282,1143780.0,False
203729,2016-05-31,603022.SH,20.12,21.92,20.12,21.92,9.98495,1020340.0,22287400.0,3.9244,4.27154711777,-0.562396438482,414694.0,False
203744,2016-05-31,603108.SH,23.85,24.9,23.78,24.79,4.29112,3533090.0,86384000.0,2.86648,13.8940547251,-0.565411754394,560648.0,False
203792,2016-05-31,603566.SH,21.8,23.58,21.8,23.19,5.74555,2285250.0,52763500.0,2.81924,6.20815624901,-0.470408897313,695364.0,False
204662,2016-06-01,002340.SZ,7.06,7.76,7.06,7.39,4.8227,257053000.0,1907120000.0,11.0183,16.351172529,-0.429365661557,43024700.0,False
205099,2016-06-01,002786.SZ,26.55,29.9,26.5,29.9,10.0074,50540400.0,1414400000.0,53.0107,17.6026906259,-0.530261969286,4848450.0,False
205193,2016-06-01,300083.SZ,9.42,10.09,9.39,10.09,10.0327,125971000.0,1241450000.0,13.8347,14.6352581997,-0.662248108723,7471200.0,False
205421,2016-06-01,300312.SZ,17.27,18.1,17.03,18.1,10.0304,17230400.0,304439000.0,9.83809,19.6015975527,-0.348838882593,1314850.0,False
205548,2016-06-01,300440.SZ,32.4,33.7,31.52,32.83,5.52877,12636200.0,409809000.0,12.5514,19.4221644473,-0.408468468468,870419.0,False
206580,2016-06-01,603022.SH,24.11,24.11,22.75,24.11,9.99088,23856600.0,565899000.0,36.7025,11.6484822202,-0.503367870311,414694.0,False
207260,2016-06-02,002086.SZ,8.57,9.04,8.51,9.0,5.38642,26614600.0,232649000.0,5.59581,15.3191079051,-0.426715077393,2452740.0,False
207722,2016-06-02,002550.SZ,8.37,9.18,8.35,9.02,7.50894,38012800.0,336064000.0,4.67241,13.5645939283,-0.413695602717,2774080.0,False
208052,2016-06-02,300091.SZ,12.76,13.51,12.71,13.5,5.30421,12368900.0,163986000.0,3.42496,14.678649292,-0.486487000514,971067.0,False
208166,2016-06-02,300206.SZ,10.7,11.99,10.63,11.99,10.0,38878800.0,457624000.0,11.4235,19.8510052117,-0.482944499547,3850710.0,False
212279,2016-06-03,603017.SH,20.5,21.75,20.5,21.75,10.0152,6708110.0,143424000.0,11.2239,19.3342726279,-0.366397203408,677674.0,False
212339,2016-06-03,603456.SH,26.31,28.3,25.93,27.61,4.82156,3290670.0,90277300.0,2.84463,19.63094005,-0.363751584284,277040.0,False
213779,2016-06-06,300113.SZ,44.5,44.5,41.05,43.47,5.99854,42154700.0,1806290000.0,10.4377,13.7193172856,-0.498228157861,5727010.0,False
218035,2016-06-07,603315.SH,21.0,22.94,20.88,22.93,9.97602,4948130.0,110555000.0,12.7099,14.8984997276,-0.377172968275,387000.0,False
219053,2016-06-08,002466.SZ,43.77,48.23,43.4,46.7,5.84769,99094900.0,4535780000.0,15.8006,15.4449931234,-0.622330230565,17590700.0,False
224662,2016-06-14,002361.SZ,6.78,7.22,6.78,7.08,4.11765,20381900.0,143198000.0,3.73128,13.3588452904,-0.445488721805,3492030.0,False
225477,2016-06-14,300389.SZ,23.21,25.32,23.21,24.8,4.77398,4622760.0,113667000.0,4.99702,14.1198266236,-0.463191843979,1771880.0,False
226867,2016-06-15,000592.SZ,6.26,6.77,6.21,6.62,4.25197,25990200.0,171272000.0,1.5504,14.2273454478,-0.445328864684,9967360.0,False
227125,2016-06-15,000961.SZ,6.64,6.96,6.56,6.86,4.89297,55124100.0,371697000.0,1.89452,3.68428990238,-0.577651223642,4381150.0,False
227304,2016-06-15,002145.SZ,6.1,6.69,6.04,6.69,10.0329,58339800.0,382509000.0,5.77417,19.170397056,-0.622460496614,9650630.0,False
227624,2016-06-15,002466.SZ,41.5,45.88,41.36,44.45,5.40669,73541300.0,3266670000.0,11.7261,19.9656733105,-0.564994005823,17590700.0,False
227910,2016-06-15,002758.SZ,25.88,27.98,25.88,27.38,4.34451,3263150.0,88449800.0,4.10883,13.9062360122,-0.581348766447,443499.0,False
227996,2016-06-15,300048.SZ,9.1,10.16,9.01,10.16,9.95671,23195400.0,225965000.0,3.70217,16.6735976661,-0.448470537144,12487800.0,False
228030,2016-06-15,300083.SZ,8.21,8.69,8.11,8.56,4.26309,69945000.0,589103000.0,7.68166,17.2121147146,-0.571582292735,8602550.0,False
228196,2016-06-15,300250.SZ,25.2,27.21,25.01,26.74,5.23416,4407930.0,116315000.0,4.10477,12.5668249446,-0.469681193911,1184500.0,False
229414,2016-06-15,603012.SH,12.52,14.04,12.52,14.04,10.0313,10715100.0,147863000.0,5.05626,19.1769914628,-0.334313214167,2265750.0,False
229422,2016-06-15,603023.SH,20.14,21.45,20.0,21.45,10.0,11751500.0,245140000.0,27.7556,15.7090090534,-0.586780839731,1634840.0,False
229464,2016-06-15,603315.SH,18.8,20.51,18.66,20.25,6.29921,3852440.0,75815700.0,4.94775,19.8327909794,-0.393158423111,387000.0,False
232888,2016-06-17,002013.SZ,11.83,12.75,11.83,12.57,6.43522,17900000.0,221425000.0,3.13163,19.7605059233,-0.274751903993,2532120.0,False
233273,2016-06-17,002399.SZ,16.93,17.84,16.92,17.42,4.0,7033490.0,122897000.0,0.563942,18.4378593069,-0.30427142201,1445940.0,False
234109,2016-06-17,300448.SZ,33.99,37.73,33.8,36.3,5.8309,12101800.0,445723000.0,18.4996,19.992364248,-0.514738319631,737735.0,False
234123,2016-06-17,300463.SZ,25.49,26.98,25.4,26.95,6.26972,13682700.0,360104000.0,4.98259,18.0897596322,-0.588763084811,951473.0,False
240148,2016-06-21,600305.SH,11.24,11.8,11.14,11.34,5.58659,31667500.0,361147000.0,5.25395,13.7310046353,-0.420793217049,1896960.0,False
240670,2016-06-21,600975.SH,7.77,8.67,7.54,8.67,10.0254,82385600.0,681742000.0,17.5767,17.0288660284,-0.416750756811,8601840.0,False
240922,2016-06-21,603598.SH,24.0,26.4,24.0,25.52,6.33333,7774700.0,200818000.0,15.971,12.0634166535,-0.431340872375,1579320.0,False
240999,2016-06-22,000018.SZ,10.3,11.1,10.3,11.06,8.43137,39015400.0,420220000.0,10.3172,18.944279452,-0.596622718238,2297130.0,False
241000,2016-06-22,000019.SZ,10.69,11.85,10.61,11.85,10.0279,14654500.0,171058000.0,3.87529,15.9698510063,-0.265412391904,10181100.0,False
242500,2016-06-22,300263.SZ,10.15,10.98,9.88,10.74,6.23145,33214700.0,352105000.0,7.02921,16.5997359215,-0.40465631929,6293550.0,False
245407,2016-06-23,300311.SZ,20.71,22.46,20.31,21.77,5.57711,15421300.0,325316000.0,7.68481,17.0893299296,-0.268726906281,2703110.0,False
248925,2016-06-24,600559.SH,22.1,24.0,21.9,22.84,4.14957,8083090.0,184988000.0,5.77363,9.51595055751,-0.546627496129,1070880.0,False
250668,2016-06-27,002642.SZ,24.5,25.85,24.14,25.69,4.05022,14732400.0,372840000.0,4.28507,19.3511688559,-0.285237326804,3818440.0,False
251134,2016-06-27,300318.SZ,9.0,9.64,8.95,9.55,5.06051,11985900.0,113304000.0,2.6197,16.1106578561,-0.445331784522,3699620.0,False
251293,2016-06-27,300479.SZ,39.56,42.46,39.21,42.0,6.00707,7095500.0,291977000.0,8.14638,19.3139510567,-0.437818736698,1122590.0,False
251310,2016-06-27,300496.SZ,65.02,71.44,63.66,70.04,6.80085,19990200.0,1348470000.0,20.4569,17.1652411722,-0.668684957427,1885170.0,False
