,2015,2016,2017
01151500,-6.0,,
01152100,-11.0,,
01152115,-14.0,,
01152130,-12.0,,
01152145,-13.0,,
01152200,-12.0,,
01152215,-12.0,,
01152230,-12.0,,
01152245,-12.0,,
01152300,-12.0,,
01152315,-12.0,,
01152330,-11.0,,
01152345,-12.0,,
01160900,,76.0,
01160915,,85.0,
01160930,,88.0,
01160945,,90.0,
01161000,,84.0,
01161015,,89.0,
01161030,,89.0,
01161045,,87.0,
01161100,,95.0,
01161115,,94.0,
01161130,,97.0,
01161330,,95.0,
01161345,,96.0,
01161400,,99.0,
01161415,,99.0,
01161430,,97.0,
01161445,,94.0,
01161500,,91.0,
01162100,,82.0,
01162115,,79.0,
01162130,,74.0,
01162145,,76.0,
01162200,,74.0,
01162215,,73.0,
01162230,,74.0,
01162245,,80.0,
01162300,,87.0,
01170900,,91.0,
01170915,,89.0,
01170930,,86.0,
01170945,,81.0,
01171000,,77.0,
01171015,,76.0,
01171030,,76.0,
01171045,,73.0,
01171100,,74.0,
01171115,,71.0,
01171130,,63.0,
01171330,,63.0,
01171345,,70.0,
01171400,,66.0,
01171415,,66.0,
01171430,,66.0,
01171445,,62.0,
01171500,,61.0,
01172100,,87.0,
01172115,,93.0,
01172130,,92.0,
01172145,,91.0,
01172200,,90.0,
01172215,,93.0,
01172230,,91.0,
01172245,,94.0,
01172300,,88.0,
01180000,-4.0,,
01180015,-5.0,,
01180030,-5.0,,
01180045,-5.0,,
01180100,-5.0,,
01180900,-4.0,54.0,
01180915,-1.0,63.0,
01180930,-1.0,61.0,
01180945,-4.0,61.0,
01181000,-6.0,61.0,
01181015,-3.0,60.0,
01181030,-5.0,62.0,
01181045,-6.0,64.0,
01181100,-1.0,65.0,
01181115,-5.0,62.0,
01181130,-5.0,62.0,
01181330,-4.0,64.0,
01181345,-3.0,61.0,
01181400,-5.0,66.0,
01181415,-6.0,66.0,
01181430,-5.0,67.0,
01181445,-9.0,70.0,
01181500,-8.0,76.0,
01182100,-4.0,66.0,
01182115,-8.0,61.0,
01182130,-6.0,60.0,
01182145,-5.0,61.0,
01182200,-8.0,59.0,
01182215,-8.0,61.0,
01182230,-8.0,68.0,
01182245,-7.0,68.0,
01182300,-6.0,73.0,
01182315,-6.0,,
01182330,-5.0,,
01182345,-4.0,,
01190000,-8.0,,
01190015,-6.0,,
01190030,-5.0,,
01190045,-6.0,,
01190100,-5.0,,
01190900,-6.0,53.0,
01190915,-6.0,51.0,
01190930,-6.0,46.0,
01190945,-4.0,48.0,
01191000,-7.0,48.0,
01191015,-7.0,43.0,
01191030,-7.0,43.0,
01191045,-6.0,50.0,
01191100,-6.0,54.0,
01191115,-8.0,54.0,
01191130,-6.0,53.0,
01191330,-7.0,50.0,
01191345,-7.0,59.0,
01191400,-6.0,61.0,
01191415,-5.0,60.0,
01191430,-6.0,61.0,
01191445,-6.0,62.0,
01191500,-9.0,51.0,
01192100,-8.0,70.0,
01192115,-6.0,57.0,
01192130,-7.0,62.0,
01192145,-9.0,59.0,
01192200,-10.0,56.0,
01192215,-8.0,56.0,
01192230,-7.0,60.0,
01192245,-7.0,59.0,
01192300,-6.0,57.0,
01192315,-7.0,,
01192330,-7.0,,
01192345,-7.0,,
01200000,-11.0,,
01200015,-11.0,,
01200030,-11.0,,
01200045,-11.0,,
01200100,-11.0,,
01200900,-11.0,54.0,
01200915,-6.0,57.0,
01200930,-7.0,56.0,
01200945,-6.0,56.0,
01201000,-8.0,61.0,
01201015,-9.0,61.0,
01201030,-7.0,59.0,
01201045,-8.0,59.0,
01201100,-7.0,63.0,
01201115,-8.0,64.0,
01201130,-7.0,65.0,
01201330,-6.0,65.0,
01201345,-7.0,63.0,
01201400,-7.0,61.0,
01201415,-6.0,53.0,
01201430,-6.0,50.0,
01201445,-6.0,50.0,
01201500,-3.0,44.0,
01202100,-10.0,48.0,
01202115,-10.0,54.0,
01202130,-9.0,49.0,
01202145,-9.0,50.0,
01202200,-8.0,51.0,
01202215,-11.0,55.0,
01202230,-13.0,62.0,
01202245,-12.0,58.0,
01202300,-12.0,54.0,
01202315,-13.0,,
01202330,-11.0,,
01202345,-12.0,,
01210000,-5.0,,
01210015,-4.0,,
01210030,-4.0,,
01210045,-5.0,,
01210100,-6.0,,
01210900,-3.0,,
01210915,-5.0,,
01210930,-6.0,,
01210945,-6.0,,
01211000,-6.0,,
01211015,-5.0,,
01211030,-6.0,,
01211045,-6.0,,
01211100,-4.0,,
01211115,-5.0,,
01211130,-5.0,,
01211330,-3.0,,
01211345,-3.0,,
01211400,-4.0,,
01211415,-4.0,,
01211430,-4.0,,
01211445,-4.0,,
01211500,-4.0,,
01212100,-5.0,,
01212115,-4.0,,
01212130,-3.0,,
01212145,-2.0,,
01212200,-5.0,,
01212215,-6.0,,
01212230,-6.0,,
01212245,-5.0,,
01212300,-5.0,,
01212315,-5.0,,
01212330,-5.0,,
01212345,-5.0,,
01220000,-3.0,,
01220015,-1.0,,
01220030,-1.0,,
01220045,0.0,,
01220100,-1.0,,
01220900,-1.0,,
01220915,2.0,,
01220930,-1.0,,
01220945,-2.0,,
01221000,-1.0,,
01221015,-3.0,,
01221030,-3.0,,
01221045,-2.0,,
01221100,-1.0,,
01221115,-1.0,,
01221130,-2.0,,
01221330,-1.0,,
01221345,-2.0,,
01221400,0.0,,
01221415,0.0,,
01221430,0.0,,
01221445,-2.0,,
01221500,1.0,,
01222100,-5.0,,
01222115,-3.0,,
01222130,-2.0,,
01222145,-2.0,,
01222200,-1.0,,
01222215,-2.0,,
01222230,-1.0,,
01222245,-2.0,,
01222300,-1.0,,
01222315,0.0,,
01222330,1.0,,
01222345,1.0,,
01230900,,52.0,
01230915,,46.0,
01230930,,43.0,
01230945,,45.0,
01231000,,45.0,
01231015,,44.0,
01231030,,45.0,
01231045,,43.0,
01231100,,46.0,
01231115,,42.0,
01231130,,48.0,
01231330,,47.0,
01231345,,46.0,
01231400,,46.0,
01231415,,45.0,
01231430,,44.0,
01231445,,46.0,
01231500,,47.0,
01232100,,38.0,
01232115,,46.0,
01232130,,41.0,
01232145,,43.0,
01232200,,44.0,
01232215,,41.0,
01232230,,41.0,
01232245,,47.0,
01232300,,47.0,
01240900,,59.0,
01240915,,58.0,
01240930,,59.0,
01240945,,61.0,
01241000,,60.0,
01241015,,67.0,
01241030,,66.0,
01241045,,64.0,
01241100,,71.0,
01241115,,65.0,
01241130,,67.0,
01241330,,54.0,
01241345,,66.0,
01241400,,64.0,
01241415,,59.0,
01241430,,60.0,
01241445,,63.0,
01241500,,59.0,
01242100,,47.0,
01242115,,50.0,
01242130,,50.0,
01242145,,47.0,
01242200,,49.0,
01242215,,48.0,
01242230,,45.0,
01242245,,50.0,
01242300,,59.0,
01250000,2.0,,
01250015,2.0,,
01250030,2.0,,
01250045,1.0,,
01250100,0.0,,
01250900,-2.0,62.0,
01250915,3.0,62.0,
01250930,2.0,64.0,
01250945,3.0,64.0,
01251000,4.0,67.0,
01251015,3.0,64.0,
01251030,3.0,62.0,
01251045,6.0,66.0,
01251100,4.0,66.0,
01251115,6.0,68.0,
01251130,8.0,69.0,
01251330,8.0,69.0,
01251345,8.0,71.0,
01251400,8.0,69.0,
01251415,7.0,67.0,
01251430,7.0,64.0,
01251445,6.0,65.0,
01251500,4.0,69.0,
01252100,0.0,65.0,
01252115,0.0,62.0,
01252130,1.0,60.0,
01252145,0.0,66.0,
01252200,0.0,63.0,
01252215,0.0,64.0,
01252230,2.0,68.0,
01252245,3.0,64.0,
01252300,1.0,66.0,
01252315,1.0,,
01252330,3.0,,
01252345,2.0,,
01260000,3.0,,
01260015,4.0,,
01260030,5.0,,
01260045,5.0,,
01260100,5.0,,
01260900,4.0,88.0,
01260915,6.0,83.0,
01260930,6.0,82.0,
01260945,6.0,85.0,
01261000,6.0,87.0,
01261015,6.0,84.0,
01261030,6.0,84.0,
01261045,5.0,85.0,
01261100,7.0,85.0,
01261115,6.0,83.0,
01261130,5.0,82.0,
01261330,6.0,83.0,
01261345,6.0,81.0,
01261400,5.0,85.0,
01261415,4.0,87.0,
01261430,5.0,87.0,
01261445,6.0,84.0,
01261500,4.0,86.0,
01262100,4.0,67.0,
01262115,4.0,75.0,
01262130,4.0,84.0,
01262145,4.0,83.0,
01262200,4.0,83.0,
01262215,3.0,78.0,
01262230,4.0,81.0,
01262245,5.0,85.0,
01262300,4.0,89.0,
01262315,4.0,,
01262330,4.0,,
01262345,4.0,,
01270000,6.0,,
01270015,8.0,,
01270030,10.0,,
01270045,11.0,,
01270100,13.0,,
01270900,10.0,,
01270915,13.0,,
01270930,15.0,,
01270945,14.0,,
01271000,13.0,,
01271015,13.0,,
01271030,13.0,,
01271045,16.0,,
01271100,14.0,,
01271115,15.0,,
01271130,13.0,,
01271330,14.0,,
01271345,16.0,,
01271400,10.0,,
01271415,6.0,,
01271430,7.0,,
01271445,10.0,,
01271500,12.0,,
01272100,6.0,,
01272115,6.0,,
01272130,6.0,,
01272145,5.0,,
01272200,3.0,,
01272215,4.0,,
01272230,4.0,,
01272245,4.0,,
01272300,5.0,,
01272315,7.0,,
01272330,6.0,,
01272345,4.0,,
01280000,-5.0,,
01280015,-4.0,,
01280030,-3.0,,
01280045,-2.0,,
01280100,-3.0,,
01280900,-2.0,,
01280915,1.0,,
01280930,2.0,,
01280945,2.0,,
01281000,2.0,,
01281015,0.0,,
01281030,0.0,,
01281045,2.0,,
01281100,1.0,,
01281115,1.0,,
01281130,0.0,,
01281330,2.0,,
01281345,4.0,,
01281400,-1.0,,
01281415,1.0,,
01281430,-2.0,,
01281445,-5.0,,
01281500,-3.0,,
01282100,12.0,,
01282115,8.0,,
01282130,5.0,,
01282145,3.0,,
01282200,0.0,,
01282215,0.0,,
01282230,-1.0,,
01282245,-3.0,,
01282300,0.0,,
01282315,-1.0,,
01282330,-2.0,,
01282345,-3.0,,
01290000,-8.0,,
01290015,-8.0,,
01290030,-8.0,,
01290045,-9.0,,
01290100,-9.0,,
01290900,-10.0,,
01290915,-4.0,,
01290930,-6.0,,
01290945,-6.0,,
01291000,-5.0,,
01291015,-6.0,,
01291030,-5.0,,
01291045,-2.0,,
01291100,-1.0,,
01291115,-2.0,,
01291130,-2.0,,
01291330,-2.0,,
01291345,-3.0,,
01291400,-3.0,,
01291415,-5.0,,
01291430,-3.0,,
01291445,-5.0,,
01291500,-3.0,,
01292100,-5.0,,
01292115,-3.0,,
01292130,-6.0,,
01292145,-6.0,,
01292200,-4.0,,
01292215,-4.0,,
01292230,-8.0,,
01292245,-7.0,,
01292300,-6.0,,
