bid_spread, ask_spread, long_bid_spread, short_ma_bid_spread, long_ask_spread, short_ma_ask_spread, std
70.0,70.0,72.762284833,74.8184310715,71.8424067422,74.0294435797,3.92552190444
80.0,75.0,72.9645611168,75.4753064862,71.9772429944,74.4146407681,4.05153434584
80.0,80.0,73.0808493628,75.7672221968,72.1098505482,74.774986525,4.05153434584
75.0,75.0,73.2778601171,76.3628852809,72.2402662416,75.1120841686,4.14242950721
70.0,70.0,73.3889698672,76.5975378434,72.2858816756,75.1048529319,4.18143217092
65.0,70.0,73.4155984645,76.4944708858,72.3307431355,75.0980882266,4.16999866773
75.0,75.0,73.4417869196,76.3980534093,72.3748630837,75.0917599539,4.09522079177
70.0,65.0,73.4675425077,76.3078564151,72.4182537765,75.0858399569,4.09522079177
70.0,70.0,73.4102277555,75.9008979367,72.3782826397,74.75772125,4.09522079177
75.0,75.0,73.3538603546,75.520194844,72.3389721829,74.4507714919,4.09522079177
75.0,75.0,73.3810692744,75.4866338863,72.3829561137,74.4862055892,4.09522079177
75.0,75.0,73.4078284599,75.4552381517,72.4262130375,74.5193536157,4.09522079177
80.0,75.0,73.2688560887,74.7807066581,72.4687549707,74.5503630599,4.16999866773
75.0,75.0,73.2148254095,74.4722739705,72.3453044754,73.9342106044,4.14242950721
75.0,75.0,73.1616877994,74.1837401659,72.3891837402,74.0029712106,4.15310292298
75.0,75.0,73.1920731251,74.2364020907,72.5149823561,74.3898762938,4.15310292298
75.0,75.0,73.3872454701,74.9308277623,72.638701656,74.7518197587,4.27991919706
70.0,70.0,73.4965471979,75.2578711324,72.7603760088,75.0904120323,4.317277949
70.0,75.0,73.6040422855,75.5638149304,72.8800392153,75.4071596431,4.34213849004
75.0,75.0,73.7097605948,75.8500204187,72.9977245175,75.7034719242,4.36526695124
75.0,75.0,73.8963761222,76.440341682,73.1961092362,76.3032479291,4.48066835292
75.0,75.0,73.9972624673,76.6699970574,73.3085702406,76.5417480627,4.51367520862
70.0,70.0,74.0964812695,76.8848359569,73.4191723853,76.7648610909,4.54606056566
75.0,75.0,74.2767047196,77.4083949274,73.6105910236,77.2961603754,4.63961654306
70.0,70.0,74.4539492697,77.8981758998,73.6335564612,77.1480209963,4.74323348454
70.0,70.0,74.5456195297,78.0337774547,73.6561423048,77.0094389966,4.75639189816
65.0,70.0,74.6357745788,78.1606305221,73.6783548287,76.879797771,4.76805778069
70.0,70.0,74.8070840899,78.6018801659,73.7002002035,76.7585204954,4.78695420446
70.0,70.0,74.9755620388,79.0146620907,73.7216844976,76.6450675602,4.8619840486
75.0,75.0,75.1412552282,79.4008129235,73.7428136795,76.5389341693,4.9327068859
75.0,70.0,75.2215650592,79.4394701543,73.7635936187,76.4396480938,4.95535624911
75.0,75.0,75.3005474549,79.4756333701,73.7840300878,76.3467675716,4.9775537834
65.0,65.0,75.3782243565,79.5094634753,73.804128764,76.2598793412,4.99930550732
70.0,70.0,75.3719727142,79.2185303478,73.7412506026,75.8560161579,4.91596040125
70.0,75.0,75.2005351487,78.3012058093,73.5967671216,75.1556280187,4.97894874
75.0,75.0,75.1972205181,78.0882247893,73.5373164254,74.8230068562,4.95815826021
70.0,70.0,75.2766053029,78.2115651255,73.5614930134,74.8344257687,4.97894874
70.0,70.0,75.2720333145,78.0043673754,73.5852699884,74.8451079772,4.95745790591
70.0,70.0,75.267536896,77.8105372222,73.6086539555,74.8551010109,4.9355217556
70.0,70.0,75.3457594267,77.9517928853,73.7142960389,75.1870299779,4.9327068859
70.0,70.0,75.4226890229,78.0839352798,73.8181919721,75.4975441729,4.92848156693
70.0,70.0,75.4157024275,77.8849717133,73.8377259891,75.4654445489,4.90464632319
70.0,70.0,75.3261866849,77.3762638609,73.7742925017,75.1128352231,4.90464632319
70.0,70.0,75.2381505414,76.9003758698,73.7119075017,74.7829748861,4.90464632319
70.0,70.0,75.1515695407,76.4551903299,73.6505536587,74.4743958612,4.90464632319
70.0,70.0,75.0664196309,76.0387264376,73.5902139288,74.1857251605,4.90464632319
75.0,75.0,75.0653217858,75.9717118287,73.6135161779,74.2382590211,4.88033895681
75.0,75.0,75.0642420868,75.909020743,73.6364332658,74.2874036004,4.88033895681
75.0,75.0,75.0631802342,75.8503742435,73.658971559,74.3333775617,4.88033895681
75.0,75.0,75.0621359328,75.795511389,73.6811373183,74.3763854609,4.88033895681
75.0,70.0,75.0611088926,75.7441880736,73.7029367015,74.416618657,4.88033895681
80.0,75.0,75.1427434563,76.018756585,73.8070203924,74.7768368081,4.8982706699
75.0,75.0,75.0577394322,75.6304497085,73.7440944355,74.4686537883,4.90464632319
75.0,75.0,74.9741404334,75.2671948886,73.682208577,74.1803535439,4.92848156693
75.0,75.0,74.8919232361,74.9273758636,73.6213456254,73.9106533152,4.95185150558
75.0,75.0,74.976354257,75.2546419369,73.644133301,73.9809337465,4.97057312814
